current_names;Description;draft_sensible_names;sensible_names;;;;;;;;;;
Div; League Division;league;league;;;;;;;;;;
Time; Time of match kick off;kick_off_time;kick_off_time;;;;;;;;;;
HomeTeam; Home Team;HomeTeam;HomeTeam;;;;;;;;;;
AwayTeam; Away Team;AwayTeam;AwayTeam;;;;;;;;;;
FTHG; Full Time Home Team Goals;full_time_goals_hometeam;full_time_goals_hometeam;;;;;;;;;;
FTAG; Full Time Away Team Goals;full_time_goals_awayteam;full_time_goals_awayteam;;;;;;;;;;
FTR; Full Time Result (H=Home Win, D=Draw, A=Away Win);full_time_result;full_time_result;;;;;;;;;;
HTHG; Half Time Home Team Goals;half_time_goals_hometeam;half_time_goals_hometeam;;;;;;;;;;
HTAG; Half Time Away Team Goals;half_time_goals_awayteam;half_time_goals_awayteam;;;;;;;;;;
HTR; Half Time Result (H=Home Win, D=Draw, A=Away Win;half_time_result;half_time_result;;;;;;;;;;
HS; Home Team Shots;hometeam_shots;hometeam_shots;;;;;;;;;;
AS; Away Team Shots;awayteam_shots;awayteam_shots;;;;;;;;;;
HST; Home Team Shots on Target;hometeam_shots_on_target;hometeam_shots_on_target;;;;;;;;;;
AST; Away Team Shots on Target;awayteam_shots_on_target;awayteam_shots_on_target;;;;;;;;;;
HC; Home Team Corners;hometeam_corners;hometeam_corners;;;;;;;;;;
AC; Away Team Corners;awayteam_corners;awayteam_corners;;;;;;;;;;
HF; Home Team Fouls Committed;hometeam_fouls_done;hometeam_fouls_done;;;;;;;;;;
AF; Away Team Fouls Committed;awayteam_fouls_done;awayteam_fouls_done;;;;;;;;;;
HY; Home Team Yellow Cards;hometeam_yellow_cards;hometeam_yellow_cards;;;;;;;;;;
AY; Away Team Yellow Cards;awayteam_yellow_cards;awayteam_yellow_cards;;;;;;;;;;
HR; Home Team Red Cards;hometeam_red_cards;hometeam_red_cards;;;;;;;;;;
AR; Away Team Red Cards;awayteam_red_cards;awayteam_red_cards;;;;;;;;;;
B365H; Bet365 home win odds;;B365H;;;;;;;;;;
B365D; Bet365 draw odds;;B365D;;;;;;;;;;
B365A; Bet365 away win odds;;B365A;;;;;;;;;;
BSH; Blue Square home win odds;;BSH;;;;;;;;;;
BSD; Blue Square draw odds;;BSD;;;;;;;;;;
BSA; Blue Square away win odds;;BSA;;;;;;;;;;
BWH; Bet&Win home win odds;;BWH;;;;;;;;;;
BWD; Bet&Win draw odds;;BWD;;;;;;;;;;
BWA; Bet&Win away win odds;;BWA;;;;;;;;;;
GBH; Gamebookers home win odds;;GBH;;;;;;;;;;
GBD; Gamebookers draw odds;;GBD;;;;;;;;;;
GBA; Gamebookers away win odds;;GBA;;;;;;;;;;
IWH; Interwetten home win odds;;IWH;;;;;;;;;;
IWD; Interwetten draw odds;;IWD;;;;;;;;;;
IWA; Interwetten away win odds;;IWA;;;;;;;;;;
LBH; Ladbrokes home win odds;;LBH;;;;;;;;;;
LBD; Ladbrokes draw odds;;LBD;;;;;;;;;;
LBA; Ladbrokes away win odds;;LBA;;;;;;;;;;
PSH; Pinnacle home win odds;;PSH;;;;;;;;;;
PSD; Pinnacle draw odds;;PSD;;;;;;;;;;
PSA; Pinnacle away win odds;;PSA;;;;;;;;;;
SBH; Sportingbet home win odds;;SBH;;;;;;;;;;
SBD; Sportingbet draw odds;;SBD;;;;;;;;;;
SBA; Sportingbet away win odds;;SBA;;;;;;;;;;
SJH; Stan James home win odds;;SJH;;;;;;;;;;
SJD; Stan James draw odds;;SJD;;;;;;;;;;
SJA; Stan James away win odds;;SJA;;;;;;;;;;
VCH; VC Bet home win odds;;VCH;;;;;;;;;;
VCD; VC Bet draw odds;;VCD;;;;;;;;;;
VCA; VC Bet away win odds;;VCA;;;;;;;;;;
WHH; William Hill home win odds;;WHH;;;;;;;;;;
WHD; William Hill draw odds;;WHD;;;;;;;;;;
WHA; William Hill away win odds;;WHA;;;;;;;;;;
League;League;;League;;;;;;;;;;
